Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment01,Chrome 67.0.3396.87,,2018-06-24 10:12:06,2018-06-24 10:12:53,46.993s,FAILED
,,,,,,
Test Cases/Health checks/TC-44702,Chrome 67.0.3396.87,,2018-06-24 10:12:07,2018-06-24 10:12:52,44.788s,FAILED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 10:12:09,2018-06-24 10:12:21,11.795s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 10:12:21,2018-06-24 10:12:37,16.507s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 10:12:37,2018-06-24 10:12:43,5.615s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 10:12:43,2018-06-24 10:12:46,3.407s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:12:46,2018-06-24 10:12:47,0.694s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 10:12:47,2018-06-24 10:12:47,0.232s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 10:12:47,2018-06-24 10:12:52,5.039s,FAILED
